time_s,MassTrsf.Gas_comps,MassTrsf.Cell_centers,value
12.0,2.0,0.0625,0.4895417241359152
12.0,2.0,0.1875,0.4829391107967476
12.0,2.0,0.3125,0.47373492912315557
12.0,2.0,0.4375,0.4636913205232571
12.0,2.0,0.5625,0.4534674818562661
12.0,2.0,0.6875,0.4432164548605404
12.0,2.0,0.8125,0.43296327680250635
12.0,2.0,0.9375,0.4227252757615684
12.0,2.0,1.0625,0.4124671269752043
12.0,2.0,1.1875,0.4022984820320462
12.0,2.0,1.3125,0.3918810674847865
12.0,2.0,1.4375,0.38221256419763205
12.0,2.0,1.5625,0.3728011514893136
12.0,2.0,1.6875,0.36334706690482227
12.0,2.0,1.8125,0.3539338052234015
12.0,2.0,1.9375,0.34452063282664175
12.0,2.0,2.0625,0.3352497748137216
12.0,2.0,2.1875,0.32574217334858263
12.0,2.0,2.3125,0.3169717609094415
12.0,2.0,2.4375,0.3029770433767435
12.0,3.0,0.0625,-9.74188003678152e-25
12.0,3.0,0.1875,2.5128077952914647e-24
12.0,3.0,0.3125,2.881395628805528e-24
12.0,3.0,0.4375,-5.757102485309771e-25
12.0,3.0,0.5625,1.6226520268790744e-24
12.0,3.0,0.6875,6.519276761800869e-24
12.0,3.0,0.8125,6.982282922507101e-24
12.0,3.0,0.9375,2.090094023996028e-24
12.0,3.0,1.0625,-4.808304702763185e-24
12.0,3.0,1.1875,-1.0309256395339109e-23
12.0,3.0,1.3125,-1.1479770581792502e-23
12.0,3.0,1.4375,-7.959167839013137e-24
12.0,3.0,1.5625,-4.384566894225167e-25
12.0,3.0,1.6875,2.6657789670677704e-24
12.0,3.0,1.8125,-9.79009883874425e-24
12.0,3.0,1.9375,-2.285015493754226e-23
12.0,3.0,2.0625,-2.0630559185547104e-23
12.0,3.0,2.1875,-2.2323457235290686e-24
12.0,3.0,2.3125,1.8823928194179558e-23
12.0,3.0,2.4375,3.46238920500167e-23
12.0,1.0,0.0625,0.5104582756479663
12.0,1.0,0.1875,0.5170608889928251
12.0,1.0,0.3125,0.5262650706455609
12.0,1.0,0.4375,0.5363086792454114
12.0,1.0,0.5625,0.5465325179073518
12.0,1.0,0.6875,0.5567835448562385
12.0,1.0,0.8125,0.5670367229210813
12.0,1.0,0.9375,0.5772747240153289
12.0,1.0,1.0625,0.5875328726483162
12.0,1.0,1.1875,0.597701517131986
12.0,1.0,1.3125,0.6081189314311852
12.0,1.0,1.4375,0.617787435235685
12.0,1.0,1.5625,0.6271988481536646
12.0,1.0,1.6875,0.6366529316417269
12.0,1.0,1.8125,0.6460661897142608
12.0,1.0,1.9375,0.6554793580671642
12.0,1.0,2.0625,0.6647502159704556
12.0,1.0,2.1875,0.674257827755902
12.0,1.0,2.3125,0.6830282491641172
12.0,1.0,2.4375,0.6970229743460908
12.0,2.0,0.0625,0.48954172435203375
12.0,2.0,0.1875,0.482939111007175
12.0,2.0,0.3125,0.4737349293544392
12.0,2.0,0.4375,0.4636913207545887
12.0,2.0,0.5625,0.4534674820926482
12.0,2.0,0.6875,0.4432164551437615
12.0,2.0,0.8125,0.43296327707891874
12.0,2.0,0.9375,0.42272527598467113
12.0,2.0,1.0625,0.4124671273516838
12.0,2.0,1.1875,0.4022984828680139
12.0,2.0,1.3125,0.3918810685688147
12.0,2.0,1.4375,0.382212564764315
12.0,2.0,1.5625,0.37280115184633555
12.0,2.0,1.6875,0.3633470683582731
12.0,2.0,1.8125,0.3539338102857393
12.0,2.0,1.9375,0.34452064193283577
12.0,2.0,2.0625,0.3352497840295443
12.0,2.0,2.1875,0.3257421722440979
12.0,2.0,2.3125,0.31697175083588275
12.0,2.0,2.4375,0.30297702565390916
12.0,3.0,0.0625,-1.133847228954441e-24
12.0,3.0,0.1875,2.5374830591219014e-24
12.0,3.0,0.3125,2.7773069103886686e-24
12.0,3.0,0.4375,-4.170766687489474e-25
12.0,3.0,0.5625,1.5805515951479684e-24
12.0,3.0,0.6875,6.508902137029897e-24
12.0,3.0,0.8125,6.851463943194715e-24
12.0,3.0,0.9375,2.112919583462283e-24
12.0,3.0,1.0625,-4.542585689669327e-24
12.0,3.0,1.1875,-1.0300385764339931e-23
12.0,3.0,1.3125,-1.1104179363686719e-23
12.0,3.0,1.4375,-6.97459903770384e-24
12.0,3.0,1.5625,4.829524157177256e-25
12.0,3.0,1.6875,3.7415672693389416e-24
12.0,3.0,1.8125,-7.772680445409361e-24
12.0,3.0,1.9375,-2.240854229879091e-23
12.0,3.0,2.0625,-2.0623424737915379e-23
12.0,3.0,2.1875,-3.4250840844013684e-24
12.0,3.0,2.3125,1.7150462784018756e-23
12.0,3.0,2.4375,3.4141397801821854e-23
20.0,1.0,0.0625,0.4999999999999388
20.0,1.0,0.1875,0.499999999998117
20.0,1.0,0.3125,0.5000000000011184
20.0,1.0,0.4375,0.5000000000012461
20.0,1.0,0.5625,0.4999999999995846
20.0,1.0,0.6875,0.500000000000142
20.0,1.0,0.8125,0.500000000002923
20.0,1.0,0.9375,0.4999999999981148
20.0,1.0,1.0625,0.4999999999944724
20.0,1.0,1.1875,0.5000000000053098
20.0,1.0,1.3125,0.5000000000101346
20.0,1.0,1.4375,0.5000000000052727
20.0,1.0,1.5625,0.5000000000040695
20.0,1.0,1.6875,0.4999999998594793
20.0,1.0,1.8125,0.4999999998581272
20.0,1.0,1.9375,0.5000000004827061
20.0,1.0,2.0625,0.5000000008653662
20.0,1.0,2.1875,0.4999999989054563
20.0,1.0,2.3125,0.49999999783594257
20.0,1.0,2.4375,0.5000000010193806
20.0,2.0,0.0625,0.5000000000000613
20.0,2.0,0.1875,0.500000000001883
20.0,2.0,0.3125,0.4999999999988817
20.0,2.0,0.4375,0.49999999999875394
20.0,2.0,0.5625,0.5000000000004154
20.0,2.0,0.6875,0.49999999999985795
20.0,2.0,0.8125,0.49999999999707717
20.0,2.0,0.9375,0.5000000000018854
20.0,2.0,1.0625,0.5000000000055278
20.0,2.0,1.1875,0.49999999999469025
20.0,2.0,1.3125,0.4999999999898655
20.0,2.0,1.4375,0.49999999999472733
20.0,2.0,1.5625,0.4999999999959305
20.0,2.0,1.6875,0.5000000001405206
20.0,2.0,1.8125,0.5000000001418728
20.0,2.0,1.9375,0.4999999995172938
20.0,2.0,2.0625,0.49999999913463355
20.0,2.0,2.1875,0.5000000010945439
20.0,2.0,2.3125,0.5000000021640574
20.0,2.0,2.4375,0.49999999898061925
20.0,3.0,0.0625,3.981921176606032e-23
20.0,3.0,0.1875,7.183314316878575e-23
20.0,3.0,0.3125,8.751571995459893e-23
20.0,3.0,0.4375,-1.2245684874120212e-23
20.0,3.0,0.5625,-1.3700824433824664e-22
20.0,3.0,0.6875,-2.2948210979814436e-22
20.0,3.0,0.8125,-2.883783402128821e-22
20.0,3.0,0.9375,-2.929254884392054e-22
20.0,3.0,1.0625,-2.6066441347678563e-22
20.0,3.0,1.1875,-2.1411158614443664e-22
20.0,3.0,1.3125,-1.5847112701038047e-22
20.0,3.0,1.4375,-1.1571056490690279e-22
20.0,3.0,1.5625,-8.498168669080794e-23
20.0,3.0,1.6875,-6.70425542089126e-23
20.0,3.0,1.8125,-5.511030722151783e-23
20.0,3.0,1.9375,-5.873162341871213e-23
20.0,3.0,2.0625,-3.020059815399547e-23
20.0,3.0,2.1875,-2.0335187583125855e-23
20.0,3.0,2.3125,4.6036003010600456e-23
20.0,3.0,2.4375,1.152250558943199e-22
20.0,1.0,0.0625,0.4999999999999437
20.0,1.0,0.1875,0.4999999999982891
20.0,1.0,0.3125,0.5000000000008875
20.0,1.0,0.4375,0.5000000000012119
20.0,1.0,0.5625,0.499999999999452
20.0,1.0,0.6875,0.5000000000001862
20.0,1.0,0.8125,0.5000000000032919
20.0,1.0,0.9375,0.4999999999977809
20.0,1.0,1.0625,0.49999999999382067
20.0,1.0,1.1875,0.5000000000061343
20.0,1.0,1.3125,0.5000000000113918
20.0,1.0,1.4375,0.5000000000056675
20.0,1.0,1.5625,0.5000000000043061
20.0,1.0,1.6875,0.49999999984073984
20.0,1.0,1.8125,0.49999999984637905
20.0,1.0,1.9375,0.5000000005557679
20.0,1.0,2.0625,0.5000000009428246
20.0,1.0,2.1875,0.49999999872599865
20.0,1.0,2.3125,0.4999999976286271
20.0,1.0,2.4375,0.5000000011894622
20.0,2.0,0.0625,0.5000000000000562
20.0,2.0,0.1875,0.5000000000017109
20.0,2.0,0.3125,0.49999999999911254
20.0,2.0,0.4375,0.49999999999878797
20.0,2.0,0.5625,0.5000000000005481
20.0,2.0,0.6875,0.49999999999981376
20.0,2.0,0.8125,0.499999999996708
20.0,2.0,0.9375,0.5000000000022191
20.0,2.0,1.0625,0.5000000000061793
20.0,2.0,1.1875,0.49999999999386563
20.0,2.0,1.3125,0.4999999999886081
20.0,2.0,1.4375,0.4999999999943325
20.0,2.0,1.5625,0.4999999999956939
20.0,2.0,1.6875,0.50000000015926
20.0,2.0,1.8125,0.5000000001536209
20.0,2.0,1.9375,0.4999999994442322
20.0,2.0,2.0625,0.49999999905717546
20.0,2.0,2.1875,0.5000000012740013
